№,Название завтрака:,Ингредиенты на 1 порцию:,Приготовление:,Какое блюдо,Блюдо из
1,Овсяная каша на воде с медом и орехами,"Овсяные хлопья: 1/4 стакана (около 20 г)
Вода: 1 стакан (около 240 мл)
Мед: 1 чайная ложка (по вкусу)
Орехи: 1 столовая ложка (грецкие орехи, миндаль или фундук), измельченные
Соль: щепотка","В небольшой кастрюле доведите воду до кипения.
Добавьте овсяные хлопья и щепотку соли.
Уменьшите огонь до среднего и варите, помешивая, около 5-7 минут, пока овсянка не станет мягкой и не впитает воду.
Снимите кашу с огня и дайте ей немного остыть.
Добавьте мед и тщательно перемешайте.
Посыпьте кашу измельченными орехами.
Подавайте теплой.",основное,Овсяная крупа
2,Овсяная каша на воде с медом и фруктами,"Овсяные хлопья – 40 г
Вода – 200 мл
Мед – 1 ч. ложка (или по вкусу)
Фрукты (яблоко, груша, банан) – 50 г
Корица (по желанию) – 1/4 ч. ложки","Очистите и нарежьте выбранные фрукты на маленькие кусочки. Если используете банан, его можно нарезать кружочками или полукружочками.
В небольшой кастрюле доведите воду до кипения на среднем огне.
Уменьшите огонь до минимума и добавьте овсяные хлопья в кипящую воду.
Варите кашу, периодически помешивая, 5-7 минут или до тех пор, пока овсяные хлопья не станут мягкими и каша не приобретет нужную консистенцию.
За 2-3 минуты до окончания варки добавьте нарезанные фрукты в кастрюлю и аккуратно перемешайте.
Снимите кастрюлю с огня и добавьте мед. Перемешайте до полного растворения меда.
При желании добавьте немного корицы для аромата.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Овсяная крупа
3,Овсяная каша на воде с медом и ягодами,"Овсяные хлопья – 40 г
Вода – 200 мл
Мед – 1 ч. ложка (или по вкусу)
Ягоды (клубника, черника, малина и др.) – 50 г
Корица или ваниль (по желанию) – щепотка","Если ягоды крупные (например, клубника), нарежьте их на мелкие кусочки. Мелкие ягоды, такие как черника или малина, можно добавлять целыми.
В небольшой кастрюле доведите воду до кипения на среднем огне.
Уменьшите огонь до минимума и добавьте овсяные хлопья в кипящую воду.
Варите кашу, периодически помешивая, 5-7 минут, пока овсяные хлопья не станут мягкими и каша не приобретет нужную консистенцию.
Снимите кастрюлю с огня.
Добавьте мед и аккуратно перемешайте до его полного растворения.
Добавьте ягоды в кашу и аккуратно перемешайте. Ягоды можно добавить сразу, чтобы они слегка разварились, или положить сверху при подаче.
При желании добавьте щепотку корицы или ванили для аромата.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Овсяная крупа
4,Овсяная каша на миндальном молоке с медом и орехами,"Овсяные хлопья: 1/4 стакана (около 20 г)
Молоко (низкой жирности): 1 стакан (около 240 мл)
Мед: 1 чайная ложка (по вкусу)
Орехи: 1 столовая ложка (грецкие орехи, миндаль или фундук), измельченные
Соль: щепотка","В небольшой кастрюле доведите молоко до кипения.
Добавьте овсяные хлопья и щепотку соли.
Уменьшите огонь до среднего и варите, помешивая, около 5-7 минут, пока овсянка не станет мягкой и не впитает молоко.
Снимите кашу с огня и дайте ей немного остыть.
Добавьте мед и тщательно перемешайте.
Посыпьте кашу измельченными орехами.
Подавайте теплой.",основное,Овсяная крупа
5,Овсяная каша на миндальном молоке с медом и фруктами,"Овсяные хлопья – 40 г
Миндальное молоко – 200 мл
Мед – 1 ч. ложка (или по вкусу)
Фрукты (яблоко, груша, банан) – 50 г
Корица или ваниль (по желанию) – щепотка","Очистите и нарежьте фрукты на маленькие кусочки. Если используете банан, его можно нарезать кружочками или полукружочками.
В небольшой кастрюле доведите миндальное молоко до кипения на среднем огне.
Уменьшите огонь до минимума и добавьте овсяные хлопья в молоко.
Варите кашу, периодически помешивая, 5-7 минут, пока овсяные хлопья не станут мягкими и каша не приобретет нужную консистенцию.
За 2-3 минуты до окончания варки добавьте нарезанные фрукты в кастрюлю и аккуратно перемешайте.
Снимите кастрюлю с огня и добавьте мед. Перемешайте до полного растворения меда.
При желании добавьте щепотку корицы или ванили для аромата.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Овсяная крупа
6,Овсяная каша на миндальном молоке с медом и ягодами,"Овсяные хлопья – 40 г
Миндальное молоко – 200 мл
Мед – 1 ч. ложка (или по вкусу)
Ягоды (черника, клубника, малина и др.) – 50 г
Ваниль или корица (по желанию) – щепотка","Если ягоды крупные (например, клубника), нарежьте их на мелкие кусочки. Мелкие ягоды, такие как черника или малина, можно использовать целыми.
В небольшой кастрюле доведите миндальное молоко до кипения на среднем огне.
Уменьшите огонь до минимума и добавьте овсяные хлопья в молоко.
Варите кашу, периодически помешивая, 5-7 минут, пока овсяные хлопья не станут мягкими и каша не приобретет нужную консистенцию.
Снимите кастрюлю с огня.
Добавьте мед и перемешайте до его полного растворения.
Добавьте ягоды в кашу и аккуратно перемешайте. Можно добавить ягоды сразу, чтобы они слегка разварились, или положить их сверху при подаче.
При желании добавьте щепотку ванили или корицы для аромата.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Овсяная крупа
7,Овсяная каша на молоке с медом и орехами,"Овсяные хлопья: 1/4 стакана (около 20 г)
Молоко (низкой жирности): 1 стакан (около 240 мл)
Мед: 1 чайная ложка (по вкусу)
Орехи: 1 столовая ложка (грецкие орехи, миндаль или фундук), измельченные
Соль: щепотка","В небольшой кастрюле доведите молоко до кипения.
Добавьте овсяные хлопья и щепотку соли.
Уменьшите огонь до среднего и варите, помешивая, около 5-7 минут, пока овсянка не станет мягкой и не впитает молоко.
Снимите кашу с огня и дайте ей немного остыть.
Добавьте мед и тщательно перемешайте.
Посыпьте кашу измельченными орехами.
Подавайте теплой.",основное,Овсяная крупа
8,Овсяная каша на молоке с медом и фруктами,"Овсяные хлопья – 40 г
Молоко (коровье или растительное) – 200 мл
Мед – 1 ч. ложка (или по вкусу)
Фрукты (яблоко, груша, банан) – 50 г
Корица или ваниль (по желанию) – щепотка","Очистите и нарежьте фрукты на маленькие кусочки. Если используете банан, его можно нарезать кружочками или полукружочками.
В небольшой кастрюле доведите молоко до кипения на среднем огне.
Уменьшите огонь до минимума и добавьте овсяные хлопья в молоко.
Постоянно помешивая, варите кашу 5-7 минут, пока овсяные хлопья не станут мягкими и каша не приобретет нужную консистенцию.
За 2-3 минуты до окончания варки добавьте нарезанные фрукты в кастрюлю и аккуратно перемешайте.
Снимите кастрюлю с огня и добавьте мед. Перемешайте до полного растворения меда.
При желании добавьте щепотку корицы или ванили для аромата.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Овсяная крупа
9,Овсяная каша на молоке с медом и ягодами,"Овсяные хлопья – 40 г
Молоко (коровье или растительное) – 200 мл
Мед – 1 ч. ложка (или по вкусу)
Ягоды (клубника, черника, малина и др.) – 50 г
Ваниль или корица (по желанию) – щепотка","Если используете крупные ягоды, например, клубнику, нарежьте их на мелкие кусочки. Мелкие ягоды, такие как черника или малина, можно добавлять целыми.
В небольшой кастрюле доведите молоко до кипения на среднем огне.
Уменьшите огонь до минимума и добавьте овсяные хлопья в молоко.
Варите кашу, периодически помешивая, 5-7 минут, пока овсяные хлопья не станут мягкими и каша не приобретет нужную консистенцию.
Снимите кастрюлю с огня.
Добавьте мед и аккуратно перемешайте до его полного растворения.
Добавьте ягоды в кашу и аккуратно перемешайте. Можно добавить ягоды сразу, чтобы они слегка разварились, или положить их сверху при подаче.
При желании добавьте щепотку ванили или корицы для аромата.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Овсяная крупа
10,Овсяная каша с добавлением семян,"Овсяные хлопья – 40 г
Вода или молоко (коровье, миндальное или другое) – 200 мл
Семена (льняные, чиа, тыквенные или подсолнечные) – 1-2 ч. ложки
Мед – 1 ч. ложка (или по вкусу)
Ягоды или нарезанные фрукты (по желанию) – 50 г
Ваниль или корица (по желанию) – щепотка","В небольшой кастрюле доведите воду или молоко до кипения на среднем огне.
Уменьшите огонь до минимума и добавьте овсяные хлопья.
Варите кашу, периодически помешивая, 5-7 минут, пока овсяные хлопья не станут мягкими и каша не приобретет нужную консистенцию.
За 1-2 минуты до окончания варки добавьте семена в кашу и хорошо перемешайте.
Снимите кастрюлю с огня и добавьте мед. Перемешайте до полного растворения меда.
Можно добавить ягоды или нарезанные фрукты сразу после снятия каши с огня, чтобы они слегка прогрелись, или положить их сверху при подаче.
При желании добавьте щепотку ванили или корицы для аромата.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Овсяная крупа
11,Овсяная каша с овощами,"Овсяные хлопья – 40 г
Вода – 200 мл
Овощи (например, морковь, брокколи, цветная капуста) – 50-70 г
Оливковое масло (по желанию) – 1/2 ч. ложки
Соль – по вкусу (по желанию)
Перец – по вкусу (по желанию)
Прованские травы или петрушка (по желанию) – щепотка","Нарежьте овощи на мелкие кусочки. Если используете морковь, можно натереть ее на терке.
В небольшой кастрюле доведите воду до кипения на среднем огне.
Добавьте нарезанные овощи и варите их до мягкости, примерно 5-7 минут.
Уменьшите огонь до минимума и добавьте овсяные хлопья в кастрюлю с овощами.
Варите кашу, периодически помешивая, еще 5-7 минут, пока овсяные хлопья не станут мягкими и каша не приобретет нужную консистенцию.
Если хотите, добавьте немного оливкового масла для вкуса и текстуры, а также соль, перец и прованские травы или петрушку по вкусу.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Овсяная крупа
12,Овсяная каша с пряностями,"Овсяные хлопья – 40 г
Вода или молоко (коровье, миндальное или другое) – 200 мл
Мед – 1 ч. ложка (или по вкусу)
Пряности (корица, кардамон, имбирь) – по вкусу
Ваниль (по желанию) – 1/4 ч. ложки
Соль – по вкусу (по желанию)","В небольшой кастрюле доведите воду или молоко до кипения на среднем огне.
Уменьшите огонь до минимума и добавьте овсяные хлопья в кипящую жидкость.
Варите кашу, периодически помешивая, 5-7 минут, пока овсяные хлопья не станут мягкими и каша не приобретет нужную консистенцию.
За 2-3 минуты до окончания варки добавьте выбранные пряности (например, корицу и кардамон) и ваниль, если используете.
Снимите кастрюлю с огня и добавьте мед. Перемешайте до полного растворения меда.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Овсяная крупа
13,Овсяные котлеты с овощами,"Овсяные хлопья – 40 г
Вода – 100 мл
Морковь – 1 маленькая (около 50 г)
Кабачок – 1/2 маленького (около 50 г)
Лук – 1/4 маленькой луковицы
Яйцо – 1 (по желанию, для связки)
Соль – по вкусу (по желанию)
Перец – по вкусу (по желанию)
Оливковое масло – для смазывания (по желанию)
Зелень (петрушка, укроп) – по вкусу (по желанию)","Морковь и кабачок натрите на мелкой терке. Лук мелко нарежьте.
В небольшой кастрюле доведите воду до кипения.
Добавьте овсяные хлопья в кипящую воду и варите 2-3 минуты, пока овсяные хлопья не впитают воду и не станут мягкими. Затем дайте им немного остыть.
В глубокой миске соедините овсяные хлопья, натертые овощи, мелко нарезанный лук и, если используете, взбитое яйцо.
Приправьте смесь солью, перцем и добавьте рубленую зелень, если хотите. Хорошо перемешайте до получения однородной массы.
Сформируйте из полученной массы небольшие котлеты.
Разогрейте сковороду на среднем огне. Если используете оливковое масло, смажьте сковороду тонким слоем.
Обжаривайте котлеты с обеих сторон до золотистой корочки, примерно по 3-4 минуты с каждой стороны. Можно также приготовить котлеты на пару или в духовке при 180°C около 20 минут.
Подавайте котлеты теплыми, как самостоятельное блюдо или с гарниром из овощей.",основное,Овсяная крупа
14,Овсяные котлеты с зеленью,"Овсяные хлопья – 40 г
Вода – 100 мл
Зелень (петрушка, укроп, зеленый лук) – 2-3 ст. ложки (мелко нарезанная)
Яйцо – 1 (по желанию, для связки)
Соль – по вкусу (по желанию)
Перец – по вкусу (по желанию)
Оливковое масло – для смазывания (по желанию)","В небольшой кастрюле доведите воду до кипения.
Добавьте овсяные хлопья в кипящую воду и варите 2-3 минуты, пока овсяные хлопья не впитают воду и не станут мягкими. Дайте им немного остыть.
В глубокой миске соедините овсяные хлопья и мелко нарезанную зелень.
Если используете, добавьте взбитое яйцо для лучшей связки массы.
Приправьте смесь солью и перцем по вкусу. Хорошо перемешайте до получения однородной массы.
Сформируйте из полученной массы небольшие котлеты.
Разогрейте сковороду на среднем огне. Если используете оливковое масло, смажьте сковороду тонким слоем.
Обжаривайте котлеты с обеих сторон до золотистой корочки, примерно по 3-4 минуты с каждой стороны. Также можно готовить котлеты на пару или в духовке при 180°C около 20 минут.
Подавайте котлеты теплыми, как самостоятельное блюдо или с гарниром из овощей.",основное,Овсяная крупа
15,Овсяноблин,"Овсяные хлопья – 30 г
Вода – 100 мл
Яйцо – 1 (по желанию)
Соль – по вкусу (по желанию)
Перец – по вкусу (по желанию)
Зелень (петрушка, укроп) – по желанию
Оливковое масло – для смазывания сковороды (по желанию)","В небольшой кастрюле доведите воду до кипения.
Добавьте овсяные хлопья в кипящую воду и варите 2-3 минуты, пока они не впитают воду и не станут мягкими. Дайте немного остыть.
В глубокой миске объедините овсяные хлопья с яйцом (если используете). Хорошо перемешайте. Если не используете яйцо, просто смешайте овсяные хлопья с водой до однородной массы.
При необходимости добавьте соль и перец, а также мелко нарезанную зелень по вкусу.
Разогрейте сковороду на среднем огне. Если используете оливковое масло, смажьте сковороду тонким слоем.
Вылейте смесь на сковороду и распределите равномерно.
Обжаривайте овсяноблин с одной стороны 2-3 минуты, пока он не станет золотистым. Затем аккуратно переверните и обжаривайте с другой стороны еще 1-2 минуты.",основное,Овсяная крупа
16,Овсяные оладьи,"Овсяные хлопья – 40 г
Вода или молоко (коровье, миндальное или другое) – 100 мл
Яйцо – 1 (по желанию, для связки)
Разрыхлитель теста – 1/2 ч. ложки (по желанию)
Соль – по вкусу (по желанию)
Мед или кленовый сироп – 1 ч. ложка (по желанию)
Оливковое масло – для смазывания сковороды (по желанию)
Зелень или фрукты для подачи (по желанию)","В небольшой кастрюле доведите воду или молоко до кипения.
Добавьте овсяные хлопья в кипящую жидкость и варите 2-3 минуты, пока овсяные хлопья не впитают жидкость и не станут мягкими. Дайте немного остыть.
В глубокой миске объедините овсяные хлопья с яйцом (если используете) и тщательно перемешайте. Если не используете яйцо, просто смешайте овсяные хлопья с водой или молоком до получения однородной массы.
Добавьте разрыхлитель теста, если используете. При необходимости добавьте соль и мед или кленовый сироп для сладости.
Разогрейте сковороду на среднем огне. Если используете оливковое масло, смажьте сковороду тонким слоем.
Выкладывайте ложкой тесто на сковороду, формируя небольшие оладьи. Обжаривайте их с обеих сторон по 2-3 минуты до золотистой корочки.
Переложите оладьи на тарелку и дайте немного остыть.
Подавайте оладьи с зеленью или фруктами по вашему выбору.",основное,Овсяная крупа
17,Овсяный пудинг,"Овсяные хлопья – 40 г
Молоко (коровье, миндальное или другое) – 200 мл
Мед или кленовый сироп – 1 ч. ложка (или по вкусу)
Семена чиа (по желанию) – 1 ч. ложка
Ванильный экстракт (по желанию) – 1/4 ч. ложки
Ягоды или нарезанные фрукты (по желанию) – 30-50 г","В небольшой кастрюле доведите молоко до кипения на среднем огне.
Уменьшите огонь и добавьте овсяные хлопья. Варите, периодически помешивая, 5-7 минут, пока овсяные хлопья не станут мягкими и пудинг не приобретет нужную консистенцию.
Снимите кастрюлю с огня.
Добавьте мед или кленовый сироп, ванильный экстракт и, если используете, семена чиа. Хорошо перемешайте. Семена чиа придадут пудингу дополнительную текстуру и густоту.
Переложите пудинг в тарелку или контейнер и дайте ему немного остыть.
Для более густой консистенции можно дать пудингу постоять в холодильнике 1-2 часа.",основное,Овсяная крупа
18,Овсяные панкейки,"Овсяные хлопья – 40 г
Молоко (коровье, миндальное или другое) – 100 мл
Яйцо – 1 (по желанию, для связки)
Разрыхлитель теста – 1/2 ч. ложки
Мед или кленовый сироп – 1 ч. ложка (или по вкусу)
Соль – по вкусу (по желанию)
Оливковое масло – для смазывания сковороды (по желанию)
Ягоды или фрукты для подачи (по желанию)","В небольшой кастрюле доведите молоко до кипения.
Добавьте овсяные хлопья в кипящее молоко и варите 2-3 минуты, пока они не впитают молоко и не станут мягкими. Дайте немного остыть.
В глубокой миске объедините овсяные хлопья, разрыхлитель теста и, если используете, взбитое яйцо. Хорошо перемешайте до получения однородной массы.
Добавьте мед или кленовый сироп и, если нужно, соль. Хорошо перемешайте.
Разогрейте сковороду на среднем огне. Если используете оливковое масло, смажьте сковороду тонким слоем.
Вылейте немного теста на сковороду, формируя небольшие панкейки. Обжаривайте до золотистой корочки, примерно 2-3 минуты с каждой стороны.
Переложите панкейки на тарелку и дайте немного остыть.
Подавайте панкейки с ягодами, нарезанными фруктами или небольшим количеством меда по вашему выбору.",основное,Овсяная крупа
19,Овсянная запеканка,"Овсяные хлопья – 40 г
Молоко (коровье, миндальное или другое) – 200 мл
Яйцо – 1 (по желанию, для связки)
Мед или кленовый сироп – 1 ч. ложка (или по вкусу)
Ягоды или нарезанные фрукты – 50 г (по желанию)
Разрыхлитель теста – 1/2 ч. ложки (по желанию)
Ванильный экстракт – 1/4 ч. ложки (по желанию)
Щепотка соли","Разогрейте духовку до 180°C.
В глубокой миске объедините овсяные хлопья, молоко, мед или кленовый сироп, ванильный экстракт (если используете) и щепотку соли. Если используете, добавьте разрыхлитель теста.
Если используете яйцо, взбейте его и добавьте в смесь для лучшей связки.
Если используете ягоды или нарезанные фрукты, добавьте их в смесь и аккуратно перемешайте.
Переложите смесь в небольшую форму для запеканки, смазанную маслом или выложенную пергаментной бумагой.
Выпекайте в разогретой духовке около 25-30 минут, пока запеканка не станет золотистой и не будет полностью пропеченной. Проверяйте готовность с помощью зубочистки — она должна выйти чистой.
Дайте запеканке немного остыть перед нарезкой и подачей.
Подавайте запеканку как самостоятельное блюдо или с добавлением дополнительного меда или кленового сиропа по вашему выбору.",основное,Овсяная крупа
20,Гречневая каша с медом и орехами,"Гречневая крупа – 40 г
Вода или молоко (коровье, миндальное или другое) – 200 мл
Мед – 1 ч. ложка (или по вкусу)
Орехи (грецкие, миндаль, фундук) – 10-15 г (измельченные)
Соль – по вкусу (по желанию)","Если используете молоко, доведите его до кипения на среднем огне. Если используете воду, доведите воду до кипения.
Добавьте гречневую крупу в кипящую жидкость. Уменьшите огонь до минимума и варите под крышкой 15-20 минут, пока гречка не станет мягкой и жидкость не впитается. Если жидкость полностью впиталась, но гречка еще твердая, добавьте немного жидкости и продолжайте варить до готовности.
Снимите кастрюлю с огня. Если хотите, добавьте немного соли по вкусу.
Вмешайте мед в горячую кашу.
Посыпьте кашу измельченными орехами.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Гречневая крупа
21,Гречневая каша с медом и фруктами,"Гречневая крупа – 40 г
Вода или молоко (коровье, миндальное или другое) – 200 мл
Мед – 1 ч. ложка (или по вкусу)
Фрукты (яблоко, груша, банан, ягоды) – 50-70 г (нарезанные)
Соль – по вкусу (по желанию)","В небольшой кастрюле доведите воду или молоко до кипения.
Добавьте гречневую крупу в кипящую жидкость. Уменьшите огонь до минимума и варите под крышкой 15-20 минут, пока гречка не станет мягкой и жидкость не впитается. Если жидкость полностью впиталась, но гречка еще твердая, добавьте немного жидкости и продолжайте варить до готовности.
Снимите кастрюлю с огня. Если хотите, добавьте немного соли по вкусу.
Вмешайте мед в горячую кашу.
Если используете твердые фрукты (например, яблоки или груши), их можно добавить в кашу за 5 минут до окончания варки, чтобы они немного размягчились.
Если используете мягкие фрукты (например, банан), нарежьте их и добавьте в готовую кашу. Ягоды можно добавить в самую последнюю очередь.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Гречневая крупа
22,Гречневая каша с медом и ягодами,"Гречневая крупа – 40 г
Вода или молоко (коровье, миндальное или другое) – 200 мл
Мед – 1 ч. ложка (или по вкусу)
Ягоды (малина, черника, клубника и т.д.) – 50-70 г (по вашему выбору, свежие или замороженные)
Соль – по вкусу (по желанию)","В небольшой кастрюле доведите воду или молоко до кипения.
Добавьте гречневую крупу в кипящую жидкость. Уменьшите огонь до минимума и варите под крышкой 15-20 минут, пока гречка не станет мягкой и жидкость не впитается. Если жидкость полностью впиталась, но гречка еще твердая, добавьте немного жидкости и продолжайте варить до готовности.
Снимите кастрюлю с огня. Если хотите, добавьте немного соли по вкусу.
Вмешайте мед в горячую кашу.
Если используете свежие ягоды, просто добавьте их в готовую кашу.
Если используете замороженные ягоды, их можно добавить в кашу за 2-3 минуты до окончания варки, чтобы они немного размякли и прогрелись.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Гречневая крупа
23,Гречневая каша с добавлением семян,"Гречневая крупа – 50 г
Вода – 200 мл
Семена льна, тыквы, подсолнечника или чиа – 1 ст. ложка (можно смешать несколько видов)
Соль – по вкусу (по желанию)
Мед – 1 ч. ложка (по желанию)","В небольшой кастрюле доведите воду до кипения.
Добавьте гречневую крупу в кипящую воду, уменьшите огонь до минимума и варите под крышкой около 15 минут, пока гречка не станет мягкой и жидкость не впитается.
Когда гречка будет готова, добавьте в кашу семена льна, тыквы, подсолнечника или чиа. Тщательно перемешайте, чтобы семена равномерно распределились по каше.
Если хотите, добавьте соль по вкусу или мед для сладости.
Переложите кашу в тарелку.",основное,Гречневая крупа
24,Гречневая каша с овощами,"Гречневая крупа – 40 г
Вода – 200 мл
Морковь – 1 маленькая (или 30 г, нарезанная мелкими кубиками)
Брокколи – 50 г (разделенная на маленькие соцветия)
Кабачок – 1/4 среднего (или 30 г, нарезанный мелкими кубиками)
Соль – по вкусу (по желанию)
Оливковое масло – 1 ч. ложка (по желанию для обжаривания овощей)","В небольшой сковороде разогрейте оливковое масло (если используете). Добавьте нарезанную морковь и обжаривайте на среднем огне 3-4 минуты.
Добавьте нарезанный кабачок и продолжайте обжаривать еще 2-3 минуты.
Добавьте брокколи и готовьте еще 2-3 минуты, пока овощи не станут мягкими. В случае необходимости добавьте немного воды, чтобы овощи не подгорели.
В небольшой кастрюле доведите воду до кипения.
Добавьте гречневую крупу в кипящую воду и варите на медленном огне 15-20 минут, пока гречка не станет мягкой и вода не впитается. Если вода полностью впиталась, но гречка еще твердая, добавьте немного воды и продолжайте варить до готовности.
Снимите кастрюлю с гречневой крупой с огня. Если используете соль, добавьте ее по вкусу.
Перемешайте готовую гречневую кашу с обжаренными овощами.
Переложите кашу в тарелку и дайте немного остыть перед подачей.",основное,Гречневая крупа
25,Гречневая каша с пряностями,"Гречневая крупа – 50 г
Вода – 200 мл
Куркума – 1/4 ч. ложки
Кориандр молотый – 1/4 ч. ложки
Зира (кумин) – 1/4 ч. ложки
Имбирь молотый – 1/4 ч. ложки (по желанию)
Соль – по вкусу (по желанию)
Свежая зелень (петрушка, кинза) – по вкусу (для украшения)","В небольшой кастрюле доведите воду до кипения.
Добавьте гречневую крупу в кипящую воду, уменьшите огонь до минимума и варите под крышкой около 15 минут, пока гречка не станет мягкой и жидкость не впитается.
Когда гречка будет готова, добавьте в кастрюлю куркуму, кориандр, зиру и молотый имбирь (если используете).
Хорошо перемешайте, чтобы пряности равномерно распределились по каше.
Если хотите, добавьте соль по вкусу.
Переложите кашу в тарелку.
Украсьте блюдо свежей зеленью перед подачей.",основное,Гречневая крупа
26,Гречневые блины,"Гречневая мука – 40 г
Молоко (коровье, миндальное или другое) – 100 мл
Яйцо – 1 (по желанию, для связки)
Разрыхлитель теста – 1/4 ч. ложки (по желанию)
Мед или кленовый сироп – 1 ч. ложка (по желанию, для сладости)
Соль – по вкусу (по желанию)
Оливковое масло – для смазывания сковороды (по желанию)","В глубокой миске объедините гречневую муку и, если используете, разрыхлитель теста и соль.
В другой миске взбейте яйцо (если используете) и добавьте молоко. Перемешайте.
Постепенно добавляйте жидкую смесь к сухим ингредиентам, тщательно перемешивая до получения однородного теста. Если тесто слишком густое, добавьте немного молока.
Разогрейте сковороду на среднем огне. Если используете оливковое масло, смажьте сковороду тонким слоем.
Вылейте небольшое количество теста на сковороду, распределите его круговыми движениями. Готовьте блины до появления пузырьков на поверхности и золотистой корочки, примерно 1-2 минуты с каждой стороны.
Переложите готовые блины на тарелку. Если хотите, подавайте с медом, кленовым сиропом или другими мягкими добавками, подходящими для вашего рациона.",основное,Гречневая крупа
