№,Название:,Ингредиенты на 1 порцию:,Приготовление:,Какое блюдо,Блюдо из
1,Чай зелёный,"Зелёный чай (сухие чайные листья): 1 чайная ложка
Вода: 1 стакан (около 250 мл)","Доведите воду до кипения, затем дайте ей немного остыть до температуры около 80-85°C (176-185°F). Зелёный чай заваривается при более низкой температуре, чтобы избежать горечи.
Насыпьте зелёный чай в чайник или чашку.
Залейте чайные листья горячей водой.
Накройте крышкой и дайте настояться 2-3 минуты. Время заваривания можно корректировать в зависимости от желаемой крепости чая.
Процедите чай через ситечко, чтобы удалить чайные листья, или выньте заварочный пакет, если используете его.
Подавайте зелёный чай горячим. При желании можно добавить ломтик лимона или немного мёда, но лучше избегать добавок для сохранения чистого вкуса зелёного чая.",напитки,чай
2,Чай из мяты,"Свежие листья мяты: 5-6 листьев (или 1 чайная ложка сушеной мяты)
Вода: 1 чашка (около 240 мл)
Мед или лимон (по желанию): по вкусу","Если используете свежие листья мяты, тщательно промойте их под холодной водой.
Отделите листья от стеблей. Можно использовать целые листья или слегка их порвать, чтобы высвободить больше аромата.
Налейте 1 чашку воды в чайник и доведите до кипения.
Поместите листья мяты в чашку или заварочный чайник.
Залейте листья кипящей водой.
Накройте чашку или чайник крышкой и дайте настояться 5-7 минут.
После настаивания процедите чай через ситечко, чтобы удалить листья мяты.
Если хотите, добавьте немного меда или ломтик лимона для вкуса.
Можно украсить каждую чашку свежим листом мяты.
Подавайте чай горячим.",напитки,чай
3,Чай из шиповника,"Сушёные плоды шиповника: 1 столовая ложка
Вода: 1 стакан (около 250 мл)
Мед или лимон (по желанию): по вкусу","Промойте сушёные плоды шиповника под холодной водой, чтобы удалить возможные загрязнения.
В небольшой кастрюле доведите воду до кипения.
Добавьте плоды шиповника в кипящую воду.
Уменьшите огонь и тушите на медленном огне 10-15 минут. Чем дольше варится шиповник, тем насыщеннее и полезнее будет напиток.
Снимите кастрюлю с огня и дайте чаю настояться под крышкой ещё 10 минут.
Процедите чай через ситечко, чтобы удалить плоды шиповника.
Если хотите, добавьте немного мёда или лимонного сока для усиления вкуса и добавления полезных свойств.
Подавайте чай горячим или слегка тёплым.",напитки,чай
4,Чай из ромашки,"Сушёные цветки ромашки: 1-2 чайные ложки
Вода: 1 стакан (около 250 мл)
Мед или лимон (по желанию): по вкусу","Вскипятите воду и дайте ей немного остыть до температуры около 90°C (194°F).
Положите сушёные цветки ромашки в чайник или чашку.
Залейте цветки горячей водой.
Накройте крышкой или блюдцем и дайте настояться 5-7 минут, чтобы ромашка полностью раскрыла свои ароматы и полезные свойства.
Процедите чай через ситечко, чтобы удалить цветки ромашки, или выньте заварочный пакет, если используете его.
При желании добавьте немного мёда или лимонного сока по вкусу. Эти добавки могут улучшить вкус и добавить дополнительные полезные свойства.
Подавайте чай горячим или слегка тёплым.",напитки,чай
5,Чай из мелиссы,"Листья мелиссы (свежие) – 5-6 листочков или Сухие листья мелиссы — 1 чайная ложка
Вода (кипяток) – 250 мл","Если используете свежие листья мелиссы, промойте их под холодной водой и слегка подсушите.
Положите листья мелиссы (свежие или сухие) в заварочный чайник или кружку.
Залейте листья кипятком.
Накройте кружку или чайник крышкой и оставьте настаиваться на 5-10 минут. Длительность настаивания зависит от желаемой насыщенности вкуса.
Если использовали свежие листья, по окончании настаивания можно процедить чай через ситечко.
Подавайте чай теплым. При желании можно добавить немного меда (по согласованию с врачом) для улучшения вкуса, но это не обязательно.",напитки,чай
6,Чай из каркаде (гибискуса),"Сухие цветы каркаде (гибискус) – 1 столовая ложка
Вода (кипяток) – 250 мл","Если цветы каркаде крупные, можно слегка измельчить их для более интенсивного заваривания.
Поместите цветы каркаде в кружку или заварочный чайник.
Залейте цветы кипятком.
Накройте кружку или чайник крышкой и оставьте настаиваться на 5-10 минут. Чем дольше настаиваете, тем более насыщенным и кислым будет вкус чая.
После настаивания процедите чай через ситечко, чтобы убрать цветы каркаде.
Подавайте чай теплым или охлажденным. При желании можно добавить немного меда (по согласованию с врачом) для смягчения кислинки, но это не обязательно.",напитки,чай
7,Чай ройбуш,"Чай ройбуш (сухой) – 1 чайная ложка
Вода (кипяток) – 250 мл","Насыпьте чай ройбуш в кружку или заварочный чайник.
Залейте ройбуш кипятком.
Накройте кружку или чайник крышкой и оставьте настаиваться на 5-7 минут. Ройбуш не содержит кофеина, поэтому его можно заваривать дольше для более насыщенного вкуса.
Процедите чай через ситечко, чтобы удалить чайные листья.
Подавайте чай теплым. По желанию можно добавить немного меда или лимонного сока (по согласованию с врачом), но это не обязательно.",напитки,чай
8,Чая из фенхеля,"Семена фенхеля – 1 чайная ложка
Вода (кипяток) – 250 мл","Если семена фенхеля цельные, слегка разомните их в ступке, чтобы лучше раскрыть аромат и вкус. Это также способствует более эффективному извлечению полезных веществ.
Поместите семена фенхеля в кружку или заварочный чайник.
Залейте семена кипятком.
Накройте кружку или чайник крышкой и оставьте настаиваться на 10-15 минут. Более длительное настаивание сделает чай ароматнее и насыщеннее.
После настаивания процедите чай через ситечко, чтобы удалить семена фенхеля.
Подавайте чай теплым. Можно добавить немного меда для подслащивания (по согласованию с врачом), но это не обязательно.",напитки,чай
9,Чай из имбиря,"Свежий имбирь (корень) – 1-2 см
Вода (кипяток) – 250 мл
Мед – по желанию и по согласованию с врачом (1 чайная ложка)","Очистите имбирный корень от кожуры и натрите его на мелкой терке или нарежьте тонкими ломтиками.
Поместите натертый или нарезанный имбирь в кружку или заварочный чайник.
Залейте имбирь кипятком.
Накройте кружку или чайник крышкой и дайте настояться 10-15 минут. Чем дольше настаивается имбирь, тем насыщеннее будет вкус и аромат чая.
После настаивания процедите чай через ситечко, чтобы удалить кусочки имбиря.
Подавайте чай теплым. Если хотите, можете добавить мед для подслащивания (по согласованию с врачом), но это необязательно.",напитки,чай
10,Яблочный сок,"Сладкие яблоки (например, «Голден Делишес» или «Фуджи») – 2 штуки.
Вода – 100 мл (по желанию, для разбавления)","Вымойте яблоки под проточной водой.
Очистите яблоки от кожуры (по желанию) и удалите сердцевину, нарезав их на четвертинки.
Поместите нарезанные яблоки в соковыжималку и отожмите сок.
Если сок получился густым или концентрированным, добавьте воду, чтобы разбавить его до желаемой консистенции.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сохранить свежесть и максимальное количество витаминов.",напитки,сок
